householdSize,householdIncome,householdType,numberOfCars
5,High,type1,2
5,High,type3,1
2,Low,type3,2
5,High,type1,2
2,Low,type2,2
2,Low,type3,3
2,Low,type1,2
3,Low,type2,0
3,High,type2,1
6,Low,type3,2
2,Low,type3,0
1,Low,type1,2
2,High,type3,0
1,Low,type2,3
6,High,type2,2
4,Low,type1,0
5,High,type2,2
4,Low,type2,0
4,High,type2,2
1,Low,type3,1
4,High,type2,0
6,Low,type1,1
1,High,type3,0
3,High,type2,2
6,High,type3,1
1,Low,type3,0
3,High,type3,3
1,Low,type2,0
3,High,type3,1
4,Low,type3,3
3,Low,type2,2
6,High,type1,0
6,Low,type3,2
2,Low,type3,0
1,Low,type3,2
3,High,type2,2
5,Low,type2,1
1,High,type3,0
5,High,type1,0
5,Low,type3,1
6,High,type1,3
6,Low,type1,1
4,Low,type2,3
4,High,type2,1
4,Low,type2,0
3,High,type1,0
6,High,type3,3
5,High,type1,2
1,High,type2,1
3,Low,type3,1
4,High,type1,2
3,Low,type3,2
4,High,type2,0
3,High,type1,1
6,High,type1,2
6,High,type2,0
3,High,type1,0
4,High,type2,0
2,High,type1,3
4,Low,type2,0
5,High,type2,0
3,Low,type2,1
5,Low,type3,3
1,Low,type3,1
5,High,type1,0
1,High,type2,1
4,Low,type3,3
5,High,type2,2
3,Low,type1,2
6,Low,type1,0
5,High,type3,2
4,High,type2,1
3,Low,type3,0
5,High,type3,2
2,Low,type3,1
2,High,type3,3
4,High,type2,0
2,High,type1,0
2,Low,type2,1
1,High,type1,0
2,High,type2,3
2,Low,type2,3
4,High,type3,0
4,Low,type2,2
6,High,type3,3
4,Low,type1,3
2,Low,type2,3
2,High,type1,2
3,Low,type1,3
4,High,type1,2
2,High,type1,0
2,High,type1,2
1,High,type2,2
5,Low,type1,2
6,Low,type2,2
6,Low,type1,3
2,High,type3,1
1,Low,type1,3
4,Low,type3,1
1,High,type3,0
3,High,type2,3
5,Low,type3,1
1,High,type1,3
2,Low,type3,1
2,High,type2,3
2,Low,type1,2
1,Low,type3,2
2,Low,type1,1
2,High,type1,2
3,High,type3,2
6,High,type3,1
6,Low,type1,3
1,Low,type1,1
4,High,type1,2
4,Low,type1,2
4,High,type3,0
2,Low,type2,2
2,High,type3,0
6,Low,type3,2
4,High,type2,2
3,High,type3,0
4,Low,type3,2
2,High,type1,0
1,Low,type2,0
4,High,type1,3
5,High,type2,3
3,Low,type2,1
1,Low,type1,3
3,Low,type3,3
3,High,type1,3
6,Low,type2,3
5,High,type2,0
1,Low,type3,1
3,High,type1,2
6,High,type1,2
4,High,type2,3
4,High,type2,0
1,High,type1,2
2,Low,type2,1
3,High,type1,3
5,Low,type3,1
5,High,type3,3
1,Low,type2,2
1,High,type2,3
3,High,type1,3
4,High,type2,2
4,High,type2,2
5,Low,type2,3
6,Low,type3,3
3,Low,type3,1
5,High,type2,0
3,Low,type3,1
1,High,type1,2
3,High,type1,0
2,Low,type2,0
1,High,type2,2
6,High,type2,3
6,Low,type3,3
4,Low,type1,3
2,High,type1,0
1,High,type3,0
3,High,type3,3
3,High,type3,2
6,High,type3,3
3,High,type3,1
4,Low,type3,3
4,High,type3,2
4,High,type3,1
6,High,type2,2
5,Low,type2,3
2,Low,type3,0
3,Low,type1,2
3,High,type2,2
4,Low,type1,3
6,High,type3,3
4,High,type1,1
4,High,type1,0
2,Low,type3,0
2,Low,type1,1
3,High,type2,0
1,High,type3,1
3,High,type3,3
4,High,type2,2
3,High,type2,3
6,High,type2,2
6,Low,type3,2
1,Low,type3,0
1,High,type3,3
1,High,type2,0
3,High,type2,0
3,Low,type1,1
3,High,type3,0
3,High,type1,2
3,High,type2,3
4,Low,type1,2
6,High,type1,1
3,High,type2,2
6,Low,type3,3
3,Low,type2,1
6,Low,type3,0
6,Low,type3,3
4,High,type1,1
3,High,type1,1
1,Low,type1,0
2,Low,type1,1
6,Low,type3,2
6,High,type2,3
3,Low,type3,0
2,Low,type3,3
4,High,type1,2
4,Low,type2,2
5,Low,type2,1
4,High,type2,3
5,Low,type1,2
6,High,type3,2
1,High,type1,0
5,High,type1,2
3,High,type2,2
4,High,type2,0
4,High,type3,1
1,High,type1,1
3,High,type1,1
1,Low,type2,1
4,High,type2,1
6,High,type3,0
2,High,type1,1
6,High,type3,3
3,High,type1,3
2,Low,type2,1
3,High,type3,1
1,High,type3,0
2,Low,type1,0
4,High,type2,2
3,High,type3,1
3,Low,type3,2
2,Low,type3,1
5,High,type3,0
4,Low,type1,1
6,High,type3,1
3,Low,type3,0
2,High,type1,1
3,Low,type1,3
5,High,type2,3
5,High,type2,2
3,Low,type2,3
1,Low,type2,0
3,Low,type2,1
5,High,type1,1
5,High,type1,2
5,High,type3,1
1,Low,type2,0
4,High,type2,1
2,Low,type3,2
4,High,type2,1
1,Low,type3,1
2,Low,type3,3
1,Low,type2,1
5,High,type1,0
2,High,type3,1
6,High,type2,0
2,Low,type1,0
3,Low,type3,3
1,Low,type3,0
1,Low,type3,2
6,Low,type2,3
5,High,type3,2
2,High,type1,0
1,Low,type3,0
2,Low,type1,0
3,High,type3,1
1,Low,type3,0
1,High,type3,1
2,Low,type3,0
4,High,type2,0
6,Low,type3,2
2,Low,type2,3
4,High,type2,0
3,High,type3,2
2,High,type3,3
3,Low,type3,0
5,High,type2,0
6,Low,type2,3
6,High,type1,3
4,Low,type2,2
6,Low,type3,3
6,High,type1,0
4,Low,type1,0
3,Low,type3,3
5,High,type2,3
4,Low,type2,2
4,High,type1,2
5,High,type1,2
5,High,type1,3
4,Low,type2,3
6,Low,type3,3
2,High,type3,1
2,High,type1,1
2,High,type3,1
3,High,type2,0
1,Low,type3,1
2,High,type2,1
5,High,type3,3
6,High,type1,1
1,High,type1,0
1,Low,type2,1
4,High,type3,0
5,High,type2,3
1,High,type3,3
3,High,type1,1
5,High,type3,0
5,High,type2,2
5,High,type3,2
6,Low,type3,3
4,Low,type1,1
3,Low,type3,0
1,High,type1,3
6,Low,type3,1
3,Low,type3,0
6,High,type2,0
5,High,type3,2
3,Low,type1,1
6,High,type3,0
5,Low,type2,3
4,High,type3,0
6,High,type2,1
4,High,type3,1
5,Low,type3,3
2,High,type1,3
4,High,type1,3
2,Low,type3,3
3,Low,type2,2
2,High,type3,2
3,High,type1,3
4,Low,type3,2
2,High,type1,0
2,High,type1,0
4,Low,type2,3
3,High,type2,3
2,High,type1,2
5,Low,type2,2
2,High,type2,2
6,High,type1,2
2,High,type3,3
4,High,type2,3
5,High,type3,1
4,Low,type1,1
3,Low,type1,3
6,High,type3,3
6,High,type3,2
4,Low,type1,0
4,High,type1,3
5,Low,type2,1
1,Low,type3,2
4,Low,type3,3
3,High,type2,2
2,High,type3,2
4,High,type2,2
1,High,type2,3
6,High,type2,0
5,Low,type1,3
1,High,type1,3
3,Low,type3,3
1,High,type1,3
4,Low,type1,0
6,High,type1,2
5,High,type3,2
3,High,type2,2
3,High,type3,2
4,High,type2,0
1,High,type1,2
1,Low,type1,0
4,Low,type2,1
5,High,type3,2
1,Low,type2,2
4,Low,type1,1
6,Low,type2,3
6,Low,type1,3
4,High,type3,0
6,Low,type2,2
3,Low,type1,2
6,High,type1,0
5,Low,type1,1
6,Low,type2,2
1,Low,type3,0
2,Low,type3,3
1,Low,type1,2
5,High,type2,2
1,Low,type1,1
5,High,type3,2
4,High,type2,2
1,Low,type2,1
3,Low,type1,2
4,Low,type1,3
2,High,type2,1
2,High,type2,1
6,Low,type2,3
1,Low,type1,2
5,High,type1,1
2,High,type3,0
4,High,type3,3
6,Low,type3,2
3,Low,type2,2
5,Low,type3,2
6,Low,type2,1
2,Low,type1,2
6,Low,type1,3
1,Low,type2,1
5,Low,type2,1
5,High,type2,1
4,High,type1,2
4,Low,type2,3
3,Low,type2,2
2,Low,type3,1
4,High,type2,2
5,High,type3,1
5,Low,type1,0
5,High,type3,0
6,Low,type3,3
1,High,type3,0
6,High,type3,2
3,Low,type2,0
2,Low,type3,0
1,Low,type2,2
5,High,type1,3
2,High,type1,2
5,High,type2,1
6,High,type3,1
4,High,type3,1
2,Low,type3,2
4,Low,type1,1
4,Low,type3,1
6,Low,type3,2
2,Low,type3,0
4,High,type3,2
2,Low,type3,2
6,Low,type1,1
3,High,type2,3
4,High,type3,2
4,High,type2,0
5,High,type1,0
4,Low,type3,0
5,High,type1,1
6,High,type3,3
2,High,type1,0
3,High,type1,3
5,High,type1,2
2,High,type2,0
2,Low,type3,0
3,High,type1,3
5,High,type2,1
2,High,type3,1
6,High,type1,1
3,Low,type1,1
5,Low,type1,0
2,Low,type1,0
6,High,type1,1
2,Low,type1,1
1,High,type1,0
5,Low,type1,2
4,Low,type1,3
3,High,type3,0
6,High,type2,1
1,High,type2,0
1,Low,type3,0
1,High,type2,2
2,Low,type3,1
5,Low,type3,0
4,Low,type1,2
3,High,type3,1
5,Low,type3,0
1,Low,type2,2
4,High,type1,0
3,High,type3,2
1,High,type1,1
4,High,type1,3
3,Low,type2,1
5,High,type1,2
6,High,type3,0
4,High,type2,2
5,Low,type3,2
2,Low,type1,2
2,High,type1,0
4,Low,type3,0
2,Low,type1,3
4,Low,type1,1
1,Low,type3,3
2,Low,type1,2
5,Low,type3,2
5,High,type2,3
4,High,type3,0
4,Low,type2,2
1,High,type3,3
3,High,type3,3
2,Low,type1,3
1,High,type1,1
6,High,type2,0
5,High,type1,1
4,High,type2,2
4,High,type3,2
5,High,type1,3
5,High,type2,2
3,Low,type3,3
1,Low,type3,3
5,High,type3,3
2,Low,type3,0
3,High,type2,3
2,Low,type3,0
5,Low,type1,3
5,High,type1,0
3,Low,type1,1
5,High,type1,0
1,High,type1,1
1,High,type3,0
2,Low,type1,2
5,High,type3,0
6,Low,type2,1
2,Low,type3,2
2,Low,type3,0
4,High,type3,3
6,Low,type2,3
6,High,type2,0
5,Low,type1,0
2,High,type3,0
4,High,type2,3
5,Low,type3,1
2,Low,type1,0
5,Low,type2,3
5,High,type2,1
5,Low,type2,1
1,Low,type2,2
6,Low,type3,2
5,Low,type2,3
1,High,type1,0
5,Low,type2,1
5,High,type1,1
3,High,type2,1
6,Low,type1,1
1,High,type1,1
6,Low,type3,0
1,Low,type2,3
5,High,type1,0
1,High,type2,1
1,High,type1,3
3,Low,type1,0
5,Low,type3,0
6,Low,type1,0
1,Low,type3,0
6,High,type1,2
5,High,type2,0
4,High,type1,2
1,Low,type2,3
3,Low,type3,2
3,High,type2,3
4,Low,type1,2
2,Low,type2,0
1,High,type2,1
4,High,type2,0
5,Low,type2,0
2,Low,type3,3
1,Low,type1,0
1,Low,type3,2
5,Low,type2,3
2,Low,type3,3
3,Low,type1,0
2,Low,type3,1
1,Low,type2,0
6,Low,type3,1
6,High,type3,1
3,High,type2,3
2,Low,type3,3
3,High,type3,3
5,Low,type3,1
4,High,type1,0
1,High,type1,1
3,Low,type3,3
4,Low,type3,0
2,High,type2,1
1,High,type1,1
6,Low,type3,3
6,Low,type3,2
2,Low,type2,0
3,High,type2,0
1,Low,type1,2
2,Low,type1,0
6,High,type1,3
4,High,type2,2
2,High,type1,0
3,Low,type3,2
3,Low,type1,0
5,High,type2,3
6,High,type1,2
3,High,type2,3
5,High,type2,1
6,Low,type1,1
2,High,type1,2
1,High,type1,3
5,Low,type3,3
4,Low,type1,2
6,Low,type1,2
5,High,type3,2
1,Low,type1,1
4,Low,type2,0
6,High,type2,3
3,High,type1,1
2,Low,type1,1
2,High,type1,0
6,Low,type3,0
2,Low,type1,1
5,High,type2,3
1,High,type1,1
4,High,type2,0
5,Low,type2,2
3,High,type3,2
3,High,type3,0
6,High,type2,3
2,Low,type2,3
6,Low,type2,0
1,High,type1,3
4,High,type2,2
5,High,type2,2
4,Low,type3,2
1,Low,type2,3
4,Low,type3,1
2,Low,type2,2
3,Low,type1,3
1,High,type2,3
2,High,type2,2
4,High,type3,2
3,High,type1,1
6,Low,type2,3
6,Low,type2,1
5,High,type2,2
1,High,type1,1
2,High,type3,0
5,High,type1,2
6,Low,type3,3
1,High,type2,0
5,High,type1,0
2,High,type1,2
6,Low,type1,3
2,High,type3,3
5,High,type1,2
2,High,type1,3
4,High,type1,3
1,High,type3,1
4,High,type1,0
3,Low,type2,2
2,Low,type2,1
3,High,type1,3
5,High,type2,2
6,High,type1,0
4,High,type3,1
3,High,type3,1
2,High,type1,1
6,High,type3,3
4,High,type1,0
2,Low,type3,0
6,High,type1,1
3,Low,type3,0
1,High,type1,1
2,Low,type3,2
4,High,type2,0
4,High,type3,3
2,Low,type3,2
2,High,type1,2
6,High,type2,2
1,High,type1,3
6,Low,type3,2
6,Low,type2,2
3,Low,type1,1
2,High,type2,0
3,High,type1,0
2,Low,type1,2
6,High,type1,1
5,High,type2,2
4,Low,type1,3
1,Low,type2,1
6,High,type2,0
5,High,type2,0
6,High,type2,1
5,Low,type1,2
1,High,type2,3
3,Low,type2,1
3,High,type1,3
6,High,type2,2
2,Low,type1,3
2,Low,type1,1
4,Low,type1,0
1,Low,type2,0
1,Low,type2,1
2,Low,type2,2
5,High,type3,2
4,High,type2,3
1,High,type2,2
3,Low,type1,3
4,Low,type3,3
4,High,type3,2
4,Low,type1,1
4,High,type2,0
4,High,type3,2
4,High,type3,2
5,High,type3,2
4,Low,type3,3
5,High,type3,0
5,High,type3,3
3,High,type2,2
4,Low,type2,3
1,High,type3,1
6,High,type3,1
1,High,type1,0
1,High,type3,3
5,Low,type1,2
4,High,type3,1
5,Low,type2,2
5,Low,type3,2
1,Low,type3,2
3,Low,type1,2
1,Low,type3,1
6,High,type3,3
4,High,type2,0
2,High,type1,1
3,High,type3,3
3,High,type3,3
6,Low,type3,2
3,Low,type2,3
1,High,type1,2
2,Low,type1,1
2,Low,type1,0
5,High,type1,3
6,High,type2,2
1,High,type3,2
5,Low,type1,2
4,Low,type3,3
2,High,type2,0
1,High,type3,1
3,High,type3,0
5,Low,type3,0
1,Low,type1,0
1,High,type3,1
4,High,type3,1
1,Low,type3,1
1,High,type1,3
5,Low,type2,3
6,High,type2,0
5,High,type3,1
3,Low,type3,1
5,High,type1,0
2,High,type3,0
2,Low,type3,3
1,Low,type3,0
1,Low,type3,0
3,High,type1,1
3,Low,type3,0
6,High,type1,0
4,Low,type3,3
5,High,type1,2
4,High,type3,3
5,Low,type1,1
6,Low,type2,3
1,Low,type3,2
1,High,type3,3
1,Low,type1,1
2,High,type1,0
6,High,type1,2
2,Low,type2,1
3,High,type1,2
4,High,type3,0
5,High,type3,0
3,Low,type3,0
1,High,type1,1
1,High,type1,0
6,High,type3,0
6,Low,type3,2
3,Low,type1,3
1,Low,type1,1
6,Low,type3,1
4,High,type1,2
3,Low,type1,3
4,Low,type2,3
5,High,type3,3
3,Low,type1,1
2,Low,type1,2
3,Low,type3,3
1,Low,type3,0
3,High,type3,3
5,High,type1,2
2,High,type1,0
3,Low,type2,0
6,High,type2,2
3,Low,type3,1
5,High,type1,3
4,Low,type2,3
3,Low,type2,0
5,Low,type3,2
1,Low,type3,1
3,High,type3,1
6,Low,type3,2
3,High,type1,0
3,High,type3,2
3,High,type3,1
4,High,type1,2
3,High,type1,1
4,High,type1,1
6,High,type2,0
3,Low,type1,0
5,High,type1,1
3,High,type1,1
6,Low,type3,3
2,High,type1,0
5,High,type3,0
2,High,type1,2
2,Low,type3,0
5,High,type2,3
3,High,type2,1
3,High,type1,0
3,Low,type1,2
6,Low,type2,1
2,Low,type2,3
1,Low,type2,0
6,High,type2,2
1,High,type3,3
1,High,type1,2
5,High,type2,2
1,Low,type1,2
3,Low,type2,0
6,High,type1,3
3,Low,type2,0
4,High,type2,1
4,High,type2,2
2,High,type3,3
4,High,type2,2
1,Low,type2,2
5,Low,type3,3
1,High,type3,1
5,Low,type2,3
6,High,type1,1
5,High,type1,3
3,High,type1,3
4,High,type2,0
5,Low,type3,2
5,High,type2,2
3,High,type1,3
3,Low,type3,2
5,High,type1,2
2,High,type2,0
5,High,type2,1
3,Low,type2,0
4,High,type1,0
6,Low,type3,3
4,Low,type3,3
2,Low,type1,1
3,High,type2,3
5,Low,type2,0
2,High,type1,0
1,Low,type3,2
6,High,type2,1
4,High,type1,0
2,Low,type1,1
3,High,type2,2
6,High,type1,1
6,Low,type2,2
5,Low,type2,2
5,High,type1,2
1,High,type3,1
6,High,type3,0
1,High,type2,0
3,Low,type2,3
2,Low,type2,1
3,High,type1,1
3,High,type3,0
3,Low,type2,2
3,High,type2,2
1,High,type1,1
5,High,type1,3
3,Low,type3,2
4,High,type3,0
1,Low,type2,2
4,Low,type2,0
3,High,type1,1
6,High,type2,2
1,High,type1,2
5,High,type1,3
4,Low,type2,2
3,High,type2,2
3,High,type2,2
6,Low,type2,1
5,Low,type3,0
5,High,type3,3
1,Low,type1,0
3,Low,type1,2
1,Low,type1,3
3,High,type1,3
6,High,type1,0
1,Low,type3,1
4,Low,type1,2
1,Low,type1,2
4,Low,type1,3
1,Low,type3,2
1,High,type2,1
2,Low,type1,2
1,High,type2,2
4,Low,type3,2
4,High,type1,2
6,Low,type2,1
3,Low,type1,1
5,Low,type3,1
3,Low,type1,3
2,High,type1,1
6,Low,type1,3
2,High,type3,2
4,High,type1,3
1,High,type2,3
5,Low,type3,2
6,Low,type1,0
4,Low,type2,2
1,Low,type3,3
4,High,type2,3
5,High,type2,0
2,Low,type2,1
2,Low,type3,0
2,High,type2,3
1,High,type2,2
2,High,type2,2
3,High,type3,3
1,High,type1,0
6,High,type3,1
6,Low,type1,1
2,High,type3,2
5,High,type1,3
3,Low,type3,0
5,Low,type3,2
6,High,type2,2
6,Low,type2,3
5,Low,type2,1
2,High,type2,2
6,Low,type3,1
4,High,type1,3
1,High,type2,2
6,High,type2,3
3,Low,type1,3
2,High,type1,0
6,Low,type3,2
5,Low,type2,3
1,Low,type2,2
3,High,type2,3
6,High,type2,3
6,High,type1,1
6,Low,type2,3
5,Low,type1,2
5,Low,type3,2
3,Low,type3,2
2,High,type3,2
3,High,type2,1
1,Low,type2,3
1,Low,type3,0
5,Low,type1,0
5,High,type1,1
4,High,type1,1
4,Low,type2,2
3,Low,type1,1
1,High,type1,2
2,Low,type1,3
1,High,type1,3
1,High,type3,0
6,Low,type1,3
2,High,type2,2
2,High,type2,1
6,Low,type3,2
1,Low,type1,0
1,Low,type2,0
2,Low,type1,3
2,High,type2,3
4,Low,type3,1
1,Low,type3,2
5,Low,type3,0
1,Low,type1,3
1,High,type3,1
1,Low,type3,3
3,High,type2,3
4,High,type2,2
4,High,type1,3
6,Low,type2,2
2,Low,type1,0
2,High,type1,3
4,Low,type3,2
5,High,type1,2
2,High,type1,3
2,Low,type2,1
1,High,type3,1
1,High,type3,2
5,Low,type2,2
5,Low,type1,2
1,High,type3,0
1,High,type3,2
1,Low,type3,1
5,Low,type2,3
6,High,type1,1
6,High,type3,3
6,High,type1,1
5,Low,type2,1
2,Low,type3,3
2,High,type1,0
2,High,type1,3
6,High,type2,2
1,Low,type2,1
1,Low,type1,2
2,Low,type3,3
4,High,type1,1
1,Low,type2,3
2,Low,type3,3
3,Low,type2,0
5,High,type2,1
2,High,type1,1
3,High,type1,1
5,Low,type2,1
1,High,type1,1
1,Low,type1,1
6,High,type2,3
3,High,type3,1
6,High,type2,2
2,High,type1,1
5,Low,type3,1
2,High,type1,1
6,Low,type3,0
6,High,type3,0
2,High,type3,0
2,High,type1,3
5,Low,type1,3
4,Low,type3,1
1,High,type2,3
4,Low,type2,2
6,High,type2,2
3,High,type3,0
5,High,type1,0
6,High,type3,1
6,Low,type3,2
1,High,type1,2
2,Low,type1,2
2,Low,type2,2
2,High,type1,1
5,High,type1,2
2,High,type2,1
5,High,type2,3
2,High,type3,3
4,High,type2,3
6,Low,type1,0
5,Low,type3,3
6,High,type1,3
5,High,type1,2
4,High,type1,3
3,High,type2,2
3,Low,type1,0
3,High,type2,1
5,High,type1,0
5,Low,type1,0
4,High,type3,2
2,Low,type2,2
6,Low,type1,0
1,High,type2,0
5,Low,type3,1
6,High,type2,3
4,High,type3,2
3,Low,type1,0
4,High,type1,0
5,High,type1,2
2,Low,type1,1
3,High,type1,3
1,High,type2,2
4,High,type2,1
5,Low,type1,0
3,High,type1,2
6,Low,type1,0
3,High,type2,3
6,High,type2,0
4,Low,type3,2
3,Low,type2,1
4,High,type1,3
4,High,type3,0
2,High,type1,3
2,Low,type3,0
4,High,type1,0
3,Low,type3,2
6,High,type3,1
6,Low,type3,2
5,Low,type3,2
3,High,type3,3
6,Low,type1,1
1,High,type3,0
6,High,type1,3
4,High,type3,2
5,High,type2,1
5,High,type2,1
4,Low,type3,1
3,Low,type3,2
4,Low,type1,3
5,Low,type3,0
5,Low,type2,1
2,High,type1,0
1,High,type1,1
6,Low,type2,2
1,Low,type2,0
1,High,type2,3
2,Low,type1,2
6,Low,type3,1
3,High,type3,2
1,High,type3,3
1,Low,type2,1
4,Low,type2,2
3,High,type3,3
1,Low,type1,0
4,Low,type1,0
2,High,type1,2
3,High,type1,2
3,High,type3,2
3,High,type1,0
2,High,type1,2
4,Low,type3,1
6,High,type3,2
2,High,type1,0
6,High,type2,1
5,High,type1,2
1,High,type3,3
4,Low,type3,1
3,Low,type3,3
1,High,type3,3
4,Low,type2,3
4,Low,type2,2
2,Low,type1,3
4,High,type3,2
3,High,type1,1
1,High,type2,1
5,High,type2,2
5,High,type1,0
4,High,type2,3
3,Low,type1,3
5,High,type2,2
3,Low,type3,1
6,Low,type1,0
3,High,type3,2
2,Low,type2,1
4,Low,type3,3
5,High,type3,3
1,High,type2,0
6,Low,type1,0
5,Low,type1,2
2,High,type3,2
3,High,type2,2
5,High,type2,2
2,Low,type3,1
4,Low,type1,1
2,Low,type2,0
1,Low,type3,2
1,High,type3,2
2,High,type1,3
3,Low,type1,2
5,Low,type3,0
5,High,type3,2
3,High,type1,1
4,Low,type1,3
2,High,type1,3
4,Low,type2,0
5,High,type3,1
5,High,type1,1
2,Low,type3,1
4,High,type3,3
6,High,type2,3
2,High,type1,2
4,High,type3,0
4,Low,type2,2
3,Low,type3,2
1,Low,type3,3
2,Low,type3,0
5,Low,type3,1
4,High,type2,0
6,Low,type2,3
3,High,type1,2
3,Low,type1,0
4,High,type2,3
5,Low,type3,0
5,High,type3,2
2,Low,type1,3
2,High,type2,1
3,High,type2,2
5,High,type1,2
5,High,type1,3
3,High,type3,2
3,High,type3,2
5,Low,type3,2
2,Low,type3,0
2,High,type1,2
6,High,type2,3
4,High,type1,3
2,Low,type1,2
3,Low,type2,1
2,Low,type3,0
1,High,type1,1
1,High,type2,0
6,Low,type3,3
4,Low,type2,0
6,Low,type2,1
5,Low,type3,0
1,Low,type2,0
6,Low,type1,1
1,Low,type1,0
4,Low,type1,2
3,High,type2,3
6,Low,type3,3
4,High,type1,0
6,High,type2,0
2,Low,type3,1
5,Low,type2,1
2,Low,type1,2
5,High,type3,3
5,Low,type3,0
6,Low,type3,3
4,High,type1,0
1,Low,type1,2
2,High,type3,1
5,High,type1,1
5,High,type2,2
1,High,type1,2
1,Low,type2,3
4,High,type3,3
2,Low,type2,0
4,High,type1,1
4,High,type1,1
1,Low,type2,0
2,High,type3,1
4,High,type3,1
5,High,type2,2
6,High,type1,2
2,High,type2,2
5,High,type1,0
1,High,type3,3
5,Low,type3,2
4,Low,type3,0
1,High,type3,2
1,High,type3,2
5,High,type3,3
5,Low,type3,1
5,Low,type1,0
5,Low,type3,3
4,High,type3,2
2,Low,type3,3
3,Low,type2,1
4,High,type2,3
6,Low,type1,1
5,High,type1,0
4,High,type1,3
2,High,type3,1
5,Low,type3,1
3,Low,type3,1
1,High,type3,2
4,Low,type2,2
5,High,type1,3
5,High,type2,2
4,Low,type3,2
1,Low,type3,0
1,High,type2,3
1,High,type2,2
3,Low,type3,2
1,High,type3,0
4,High,type1,0
1,High,type3,1
2,High,type1,1
6,High,type2,2
4,Low,type2,2
1,Low,type3,1
6,High,type3,3
5,Low,type1,2
2,Low,type2,3
1,High,type1,0
1,High,type1,0
5,Low,type2,1
3,Low,type1,3
5,High,type3,1
2,Low,type1,2
3,High,type3,1
5,High,type3,3
1,High,type3,0
3,Low,type2,1
2,High,type1,0
5,Low,type1,0
6,High,type1,2
5,Low,type3,3
2,High,type2,1
6,High,type2,0
1,High,type3,0
1,High,type1,2
5,High,type1,0
5,High,type1,0
5,Low,type3,2
3,High,type3,2
5,Low,type1,0
1,Low,type1,1
5,Low,type2,1
5,Low,type2,1
5,High,type3,3
1,High,type1,1
3,Low,type3,2
1,Low,type2,0
1,High,type2,1
4,High,type3,1
4,Low,type3,3
1,Low,type2,2
1,Low,type1,1
4,High,type1,2
3,High,type3,2
5,High,type2,1
5,Low,type1,2
2,High,type3,0
3,Low,type2,2
6,Low,type2,0
3,High,type1,3
4,Low,type3,0
2,High,type2,1
1,Low,type1,2
5,High,type1,2
1,Low,type2,3
4,High,type2,2
6,High,type1,0
3,High,type3,0
2,High,type1,2
2,Low,type3,1
4,High,type3,3
1,High,type1,0
1,High,type1,2
5,Low,type3,1
2,High,type2,3
5,High,type3,1
1,Low,type1,2
1,Low,type2,0
5,High,type1,0
3,High,type1,2
6,Low,type1,2
6,Low,type1,3
5,Low,type3,1
4,High,type3,0
6,High,type1,3
3,High,type3,0
4,High,type3,2
2,Low,type3,3
4,Low,type1,2
6,Low,type1,2
3,High,type3,0
1,High,type1,3
5,Low,type3,2
5,High,type1,0
5,Low,type2,1
6,High,type3,0
6,Low,type3,1
1,High,type3,1
2,Low,type1,0
5,Low,type1,2
1,High,type3,0
5,High,type2,0
2,Low,type1,0
6,Low,type2,1
6,High,type3,0
4,Low,type2,1
6,Low,type3,2
6,High,type2,2
4,High,type3,3
2,High,type3,1
4,High,type2,2
4,High,type2,3
2,Low,type1,1
5,Low,type2,2
3,High,type1,0
5,Low,type3,3
6,Low,type2,2
2,High,type1,0
1,High,type3,2
4,Low,type1,1
1,High,type2,2
6,High,type1,0
6,Low,type2,2
2,Low,type1,1
5,High,type3,3
5,Low,type1,1
1,High,type2,1
2,High,type1,3
3,High,type2,2
5,Low,type2,3
5,Low,type3,2
1,High,type2,1
6,High,type2,2
3,High,type2,0
2,High,type3,2
2,High,type1,0
1,High,type1,1
6,High,type3,0
6,High,type3,1
1,High,type3,2
5,High,type1,0
2,Low,type1,0
4,Low,type3,0
2,High,type1,2
4,Low,type1,3
2,Low,type1,0
5,High,type1,3
5,High,type3,2
2,High,type1,1
1,Low,type3,2
2,High,type1,0
3,Low,type1,3
2,Low,type1,3
1,High,type3,2
3,High,type1,0
6,High,type2,0
6,High,type1,1
3,Low,type2,0
5,Low,type2,3
3,High,type1,3
2,High,type1,3
6,Low,type1,3
1,Low,type1,3
1,Low,type3,1
4,Low,type3,2
6,Low,type2,2
6,Low,type3,3
6,Low,type2,2
3,High,type3,2
6,High,type2,2
6,High,type2,2
4,High,type3,0
4,High,type3,2
3,High,type2,2
2,High,type2,1
3,High,type1,1
5,High,type2,2
5,High,type2,2
4,High,type1,0
3,High,type2,3
5,Low,type3,1
1,High,type2,2
2,Low,type2,1
4,Low,type3,1
1,Low,type2,1
5,High,type1,2
1,Low,type1,0
5,Low,type2,2
5,High,type2,1
3,Low,type2,2
1,High,type3,3
5,Low,type2,0
2,High,type2,1
6,High,type3,1
3,Low,type1,0
5,Low,type3,3
4,High,type1,3
5,High,type2,2
3,Low,type3,0
6,Low,type1,3
6,High,type2,3
2,Low,type2,3
2,Low,type1,2
5,High,type1,0
6,Low,type3,1
1,Low,type1,2
2,High,type3,1
3,High,type2,1
1,High,type1,2
2,High,type1,2
4,High,type1,1
6,High,type1,0
1,High,type1,0
4,High,type2,1
3,Low,type3,0
1,High,type1,0
2,High,type3,2
6,Low,type3,1
3,Low,type3,1
4,High,type1,1
4,High,type2,1
6,Low,type1,1
4,Low,type1,0
4,High,type3,3
